timestamp,typeK_C,rtd1_C,rtd2_C
2026-04-12 19:13:25,51.50,26.62,40.21
2026-04-12 19:13:26,51.50,26.62,40.17
2026-04-12 19:13:27,51.50,26.59,40.17
2026-04-12 19:13:27,51.25,26.62,40.14
2026-04-12 19:13:28,51.25,26.59,40.14
2026-04-12 19:13:29,51.25,26.59,40.14
2026-04-12 19:13:29,51.25,26.62,40.11
2026-04-12 19:13:30,51.25,26.59,40.11
2026-04-12 19:13:31,51.00,26.59,40.14
2026-04-12 19:13:31,51.00,26.59,40.11
2026-04-12 19:13:32,51.00,26.59,40.07
2026-04-12 19:13:33,51.00,26.59,40.07
2026-04-12 19:13:33,51.00,26.59,40.07
2026-04-12 19:13:34,51.00,26.59,40.07
2026-04-12 19:13:35,51.00,26.62,40.04
2026-04-12 19:13:35,51.00,26.59,40.07
2026-04-12 19:13:36,50.75,26.59,40.04
2026-04-12 19:13:37,50.75,26.59,40.04
2026-04-12 19:13:37,50.75,26.59,40.00
2026-04-12 19:13:38,50.75,26.62,40.07
2026-04-12 19:13:39,50.75,26.59,40.00
2026-04-12 19:13:39,50.75,26.59,40.00
2026-04-12 19:13:40,50.50,26.59,40.00
2026-04-12 19:13:41,50.75,26.59,39.97
2026-04-12 19:13:41,50.50,26.59,39.97
2026-04-12 19:13:42,50.50,26.59,39.97
2026-04-12 19:13:42,50.50,26.59,39.97
2026-04-12 19:13:43,50.50,26.55,39.94
2026-04-12 19:13:44,50.50,26.59,39.94
2026-04-12 19:13:44,50.50,26.59,39.94
2026-04-12 19:13:45,50.25,26.59,39.94
2026-04-12 19:13:46,50.25,26.59,39.90
2026-04-12 19:13:46,50.25,26.59,39.90
2026-04-12 19:13:47,50.25,26.59,39.90
2026-04-12 19:13:48,50.25,26.55,39.90
2026-04-12 19:13:48,50.25,26.59,39.87
2026-04-12 19:13:49,50.25,26.59,39.87
2026-04-12 19:13:50,50.25,26.59,39.90
2026-04-12 19:13:50,50.00,26.55,39.87
2026-04-12 19:13:51,50.00,26.55,39.83
2026-04-12 19:13:52,50.25,26.55,39.83
2026-04-12 19:13:52,50.00,26.55,39.83
2026-04-12 19:13:53,50.00,26.59,39.80
2026-04-12 19:13:54,50.00,26.55,39.80
2026-04-12 19:13:54,50.00,26.55,39.83
2026-04-12 19:13:55,50.00,26.55,39.80
2026-04-12 19:13:56,50.00,26.55,39.80
2026-04-12 19:13:56,49.75,26.55,39.80
2026-04-12 19:13:57,49.75,26.55,39.77
2026-04-12 19:13:58,49.75,26.52,39.77
2026-04-12 19:13:58,49.75,26.55,39.77
2026-04-12 19:13:59,49.75,26.55,39.77
2026-04-12 19:14:00,49.75,26.55,39.77
2026-04-12 19:14:00,49.75,26.55,39.70
2026-04-12 19:14:01,49.75,26.52,39.73
2026-04-12 19:14:02,49.75,26.55,39.70
2026-04-12 19:14:02,49.75,26.55,39.70
2026-04-12 19:14:03,49.50,26.55,39.66
2026-04-12 19:14:03,49.50,26.55,39.66
2026-04-12 19:14:04,49.50,26.55,39.70
2026-04-12 19:14:05,49.50,26.52,39.66
2026-04-12 19:14:05,49.50,26.55,39.70
2026-04-12 19:14:06,49.50,26.52,39.66
2026-04-12 19:14:07,49.50,26.52,39.63
2026-04-12 19:14:07,49.50,26.52,39.63
2026-04-12 19:14:08,49.25,26.52,39.60
2026-04-12 19:14:09,49.50,26.52,39.63
2026-04-12 19:14:09,49.25,26.52,39.60
2026-04-12 19:14:10,49.25,26.52,39.60
2026-04-12 19:14:11,49.25,26.52,39.63
2026-04-12 19:14:11,49.25,26.48,39.56
2026-04-12 19:14:12,49.25,26.52,39.53
2026-04-12 19:14:13,49.25,26.52,39.56
2026-04-12 19:14:13,49.25,26.48,39.56
2026-04-12 19:14:14,49.25,26.52,39.53
2026-04-12 19:14:15,49.25,26.48,39.56
2026-04-12 19:14:15,49.25,26.52,39.53
2026-04-12 19:14:16,49.25,26.52,39.53
2026-04-12 19:14:17,49.00,26.55,39.49
2026-04-12 19:14:17,49.25,26.52,39.49
2026-04-12 19:14:18,49.25,26.52,39.53
2026-04-12 19:14:19,49.00,26.52,39.49
2026-04-12 19:14:19,49.00,26.52,39.49
2026-04-12 19:14:20,49.00,26.52,39.46
2026-04-12 19:14:21,49.00,26.48,39.46
2026-04-12 19:14:21,49.00,26.52,39.49
2026-04-12 19:14:22,49.00,26.48,39.46
2026-04-12 19:14:23,49.00,26.45,39.43
2026-04-12 19:14:23,49.00,26.48,39.43
2026-04-12 19:14:24,49.00,26.52,39.43
2026-04-12 19:14:24,49.00,26.48,39.43
2026-04-12 19:14:25,49.00,26.48,39.43
2026-04-12 19:14:26,49.00,26.48,39.39
2026-04-12 19:14:26,49.00,26.48,39.39
2026-04-12 19:14:27,49.00,26.45,39.39
2026-04-12 19:14:28,49.00,26.48,39.36
2026-04-12 19:14:28,48.75,26.48,39.36
2026-04-12 19:14:29,49.00,26.48,39.36
2026-04-12 19:14:30,48.75,26.48,39.36
2026-04-12 19:14:30,49.00,26.48,39.33
2026-04-12 19:14:31,48.75,26.48,39.33
2026-04-12 19:14:32,48.75,26.48,39.33
2026-04-12 19:14:32,48.75,26.48,39.29
2026-04-12 19:14:33,48.75,26.48,39.29
2026-04-12 19:14:34,48.75,26.48,39.33
2026-04-12 19:14:34,48.75,26.45,39.29
2026-04-12 19:14:35,48.75,26.48,39.26
2026-04-12 19:14:36,48.75,26.45,39.26
2026-04-12 19:14:36,48.75,26.45,39.26
2026-04-12 19:14:37,48.75,26.48,39.26
2026-04-12 19:14:38,48.75,26.45,39.26
