timestamp,typeK_C,rtd1_C,rtd2_C,rtd3_C,pressure1,pressure2,P_in_W,P_out_W
2026-04-22 19:25:43,26.25,23.85,24.27,24.15,0.174,0.426,-1.15,0.48
2026-04-22 19:25:43,26.25,23.85,24.27,24.15,0.172,0.430,-1.15,0.48
2026-04-22 19:25:44,26.25,23.85,24.27,24.15,0.175,0.428,-1.15,0.48
2026-04-22 19:25:45,26.25,23.85,24.27,24.15,0.172,0.431,-1.15,0.48
2026-04-22 19:25:46,26.25,23.89,24.24,24.18,0.172,0.430,-1.15,0.22
2026-04-22 19:25:46,26.25,23.89,24.27,24.15,0.172,0.427,-1.02,0.48
2026-04-22 19:25:47,26.25,23.89,24.27,24.15,0.175,0.428,-1.02,0.48
2026-04-22 19:25:48,26.25,23.89,24.27,24.18,0.175,0.427,-1.15,0.35
2026-04-22 19:25:49,26.25,23.89,24.27,24.15,0.175,0.428,-1.02,0.48
2026-04-22 19:25:49,26.25,23.89,24.27,24.18,0.172,0.431,-1.15,0.35
2026-04-22 19:25:50,26.25,23.85,24.27,24.18,0.175,0.428,-1.28,0.35
2026-04-22 19:25:51,26.25,23.89,24.27,24.15,0.175,0.430,-1.02,0.48
2026-04-22 19:25:52,26.25,23.89,24.27,24.15,0.175,0.430,-1.02,0.48
2026-04-22 19:25:53,26.25,23.89,24.27,24.15,0.177,0.430,-1.02,0.48
2026-04-22 19:25:53,26.25,23.89,24.27,24.18,0.178,0.431,-1.15,0.35
2026-04-22 19:25:54,26.25,23.89,24.27,24.15,0.175,0.427,-1.02,0.48
2026-04-22 19:25:55,26.25,23.85,24.31,24.15,0.172,0.430,-1.15,0.61
2026-04-22 19:25:56,26.25,23.89,24.27,24.15,0.177,0.430,-1.02,0.48
2026-04-22 19:25:56,26.25,23.89,24.27,24.18,0.178,0.427,-1.15,0.35
2026-04-22 19:25:57,26.25,23.89,24.27,24.15,0.177,0.427,-1.02,0.48
2026-04-22 19:25:58,26.25,23.85,24.27,24.15,0.177,0.428,-1.15,0.48
