timestamp,typeK_C,rtd1_C,rtd2_C,rtd3_C,pressure1,pressure2,P_in_W,P_out_W
2026-04-16 14:19:42,67.50,35.81,34.16,25.47,1.350,0.441,31.87,26.81
2026-04-16 14:19:43,67.50,35.77,34.10,25.47,1.355,0.441,31.77,26.60
2026-04-16 14:19:43,67.50,35.77,34.03,25.50,1.356,0.446,31.67,26.29
2026-04-16 14:19:44,67.25,35.74,34.06,25.54,1.352,0.449,31.46,26.29
2026-04-16 14:19:45,67.25,35.74,34.03,25.54,1.332,0.445,31.46,26.18
2026-04-16 14:19:46,67.25,35.71,34.03,25.57,1.293,0.430,31.25,26.08
2026-04-16 14:19:46,67.25,35.67,34.03,25.54,1.261,0.382,31.25,26.18
2026-04-16 14:20:45,66.50,35.37,33.69,25.71,1.139,0.355,37.11,30.67
2026-04-16 14:20:46,66.50,35.37,33.69,25.67,1.111,0.335,37.24,30.80
2026-04-16 14:20:47,66.50,35.43,33.69,25.67,1.115,0.317,37.50,30.80
2026-04-16 14:20:48,66.75,35.43,33.69,25.67,1.108,0.298,37.50,30.80
2026-04-16 14:20:48,66.50,35.50,33.69,25.67,1.097,0.288,37.76,30.80
2026-04-16 14:20:49,66.50,35.54,33.72,25.67,1.093,0.284,37.89,30.93
2026-04-16 14:20:50,66.50,35.60,33.69,25.64,1.113,0.285,38.28,30.93
2026-04-16 14:20:51,66.50,35.67,33.69,25.71,1.101,0.285,38.28,30.67
2026-04-16 14:20:51,66.50,35.67,33.69,25.67,1.100,0.282,38.41,30.80
2026-04-16 14:20:52,66.50,35.71,33.66,25.67,1.114,0.287,38.54,30.67
2026-04-16 14:20:53,66.50,35.71,33.69,25.67,1.110,0.289,38.54,30.80
2026-04-16 14:20:54,66.50,35.71,33.69,25.67,1.103,0.291,38.54,30.80
2026-04-16 14:20:55,66.75,35.74,33.66,25.71,1.108,0.295,38.55,30.54
2026-04-16 14:20:55,66.50,35.77,33.66,25.71,1.114,0.296,38.68,30.54
2026-04-16 14:20:56,66.50,35.84,33.66,25.67,1.082,0.273,39.07,30.67
2026-04-16 14:20:57,66.50,35.84,33.66,25.71,1.040,0.242,38.94,30.54
2026-04-16 14:20:58,66.50,35.87,33.66,25.71,1.024,0.236,39.07,30.54
2026-04-16 14:20:58,66.50,35.91,33.66,25.71,1.021,0.248,39.20,30.54
2026-04-16 14:20:59,66.50,35.87,33.66,25.74,1.017,0.242,38.94,30.41
2026-04-16 14:21:00,66.50,35.94,33.66,25.71,1.031,0.239,39.33,30.54
2026-04-16 14:21:01,66.50,35.98,33.66,25.71,1.035,0.256,39.46,30.54
2026-04-16 14:21:01,66.50,36.01,33.66,25.71,1.031,0.266,39.59,30.54
2026-04-16 14:21:02,66.50,36.01,33.66,25.74,1.035,0.261,39.46,30.41
